Move Name,Type,Damage,Targets,Effects,accuracy,PP,implemented?,remaining work,Level Learned
Teleport,Psychic,--,self,switch out,,20,x,,10
Double Team,Normal,--,self,"+1 Evasion",,15,x,,12
Fire Spin,Fire,35,targeted enemy,"traps foe for 2-5 turns",85,15,x,,14
Icy Wind,Ice,55,both enemies,"-1 Speed",95,15,x,,18
Psybeam,Psychic,65,targeted enemy,"10% chance to confuse",100,20,x,,22
,,,,,,,,
Frost Mage Custom Moves,--,--,--,--,--,,,,
Ice Lance,Ice,40,targeted enemy,"50% chance to freeze, double damage if foe frozen",100,10,x,,24
Frost Nova,Ice,--,both enemies and ally,inflicts frostbite and -1 speed to all targets,100,10,x,,28
Ice Block,Ice,--,self,"protect and heals for 25%, 50% in hail",100,1,x,,41
,,,,,,,,
Frost Mage Standard Moves,--,--,--,--,--,,,,
Pound,Normal,40,targeted enemy,,100,35,x,,1
Confusion,Psychic,50,targeted enemy,"10% chance to confuse",100,25,x,,1
Ember,Fire,40,targeted enemy,"10% chance to burn",100,25,x,,6
Powder Snow,Ice,40,both enemies,"10% chance to freeze",100,25,x,,9
Teleport,Psychic,--,self,switch out,,20,x,,10
Double Team,Normal,--,self,"+1 Evasion",,15,x,,12
Fire Spin,Fire,35,targeted enemy,"traps foe for 2-5 turns",85,15,x,,14
Icy Wind,Ice,55,both enemies,"-1 Speed",95,15,x,,18
Psybeam,Psychic,65,targeted enemy,"10% chance to confuse",100,20,x,,22
Hail,Ice,--,field,creates hail for 5 turns,,10,x,,28
Blizzard,Ice,110,both enemies,"10% chance to freeze",70,5,x,,32
,,,,,,,,
Fire Mage Custom Moves,--,--,--,--,--,,,,
Blast Wave,Fire,55,both enemies,"-1 Speed",95,15,x,,24
Pyroblast,Fire,120,targeted enemy,"two-turn move, charges first turn",100,10,x,,28
Phoenix Flames,Dragon,50,targeted enemy,"+1 crit stage, 50% chance to increase crit stage",100,15,x,,32
,,,,,,,,
Fire Mage Standard Moves,--,--,--,--,--,,,,
Pound,Normal,40,targeted enemy,,100,35,x,,1
Confusion,Psychic,50,targeted enemy,"10% chance to confuse",100,25,x,,1
Ember,Fire,40,targeted enemy,"10% chance to burn",100,25,x,,6
Powder Snow,Ice,40,both enemies,"10% chance to freeze",100,25,x,,9
Teleport,Psychic,--,self,switch out,,20,x,,10
Double Team,Normal,--,self,"+1 Evasion",,15,x,,12
Fire Spin,Fire,35,targeted enemy,"traps foe for 2-5 turns",85,15,x,,14
Icy Wind,Ice,55,both enemies,"-1 Speed",95,15,x,,18
Psybeam,Psychic,65,targeted enemy,"10% chance to confuse",100,20,x,,22
,,,,,,,,
Arcane Mage Custom Moves,--,--,--,--,--,,,,
Arcane Blast,Psychic,20,targeted enemy,power doubles on consecutive hits,95,15,x,,24
Polymorph,Psychic,--,targeted enemy,inflicts sleep and applies a substitute to the target,100,10,x,,30
Arcane Orb,Psychic,95,both enemies,,100,10,x,,36
,,,,,,,,
Arcane Mage Standard Moves,--,--,--,--,--,,,,
Pound,Normal,40,targeted enemy,,100,35,x,,1
Confusion,Psychic,50,targeted enemy,"10% chance to confuse",100,25,x,,1
Ember,Fire,40,targeted enemy,"10% chance to burn",100,25,x,,6
Powder Snow,Ice,40,both enemies,"10% chance to freeze",100,25,x,,9
Teleport,Psychic,--,self,switch out,,20,x,,10
Double Team,Normal,--,self,"+1 Evasion",,15,x,,12
Fire Spin,Fire,35,targeted enemy,"traps foe for 2-5 turns",85,15,x,,14
Icy Wind,Ice,55,both enemies,"-1 Speed",95,15,x,,18
Psybeam,Psychic,65,targeted enemy,"10% chance to confuse",100,20,x,,22
,,,,,,,,
DK Learnset ,,,,,,,,
